,txvalue
2019-02-10,-4703000000
2019-02-11,-29379892710000
2019-02-12,59357320000
2019-02-13,-1397660010000
2019-02-14,-9570122560000
2019-02-15,609111850000
2019-02-16,-3280523800000
2019-02-17,-284629100000
2019-02-18,127602900000
2019-02-19,30549820000
2019-02-20,965016210000
2019-02-21,-26785260000
2019-02-22,-12743391390000
2019-02-23,295496600000
2019-02-24,-7417200000
2019-02-25,-1715731020000
2019-02-26,2189628390000
2019-02-27,2151654030000
2019-02-28,1025395900000
2019-03-01,2498644300000
2019-03-02,469230300000
2019-03-03,-6953100000
2019-03-04,1366792730000
2019-03-05,313584910000
2019-03-06,848902350000
2019-03-07,-3543568150000
2019-03-08,5406775130000
2019-03-09,-3956293400000
2019-03-10,-5581100000
2019-03-11,618766510000
2019-03-12,-20593690000
2019-03-13,-33395930000
2019-03-14,196523590000
2019-03-15,-1179662620000
2019-03-16,-5559100000
2019-03-17,-7323400000
2019-03-18,411212660000
2019-03-19,91417620000
2019-03-20,554630000000
2019-03-21,3202124470000
2019-03-22,826195290000
2019-03-23,169663600000
2019-03-24,378122800000
2019-03-25,1397537940000
2019-03-26,-1264853000000
2019-03-27,283184730000
2019-03-28,480360410000
2019-03-29,196967330000
2019-03-30,16320360000
2019-03-31,73598500000
2019-04-01,6156377520000
2019-04-02,4185718610000
2019-04-03,-203079840000
2019-04-04,1332818050000
2019-04-05,2941657000000
2019-04-06,-10806400000
2019-04-07,-6386200000
2019-04-08,316837840000
2019-04-09,5143480400000
2019-04-10,-3425799610000
2019-04-11,-3675648300000
2019-04-12,415229610000
2019-04-13,-12769500000
2019-04-14,-6057200000
2019-04-15,81585520000
2019-04-16,3653150000
2019-04-17,-3556354590000
2019-04-18,-3380404100000
2019-04-19,63670260000
2019-04-20,383260800000
2019-04-21,-1146190050000
2019-04-22,-18353670000
2019-04-23,625315540000
2019-04-24,-294102280000
2019-04-25,4750376950000
2019-04-26,34885705450000
2019-04-27,-7678600000
2019-04-28,-194536490000
2019-04-29,29692490000
2019-04-30,1112257490000
2019-05-01,1311359970000
2019-05-02,-1035080820000
2019-05-03,3249403490000
2019-05-04,2616811500000
2019-05-05,707926150000
2019-05-06,5853670130000
2019-05-07,5012704590000
2019-05-08,14108161120000
2019-05-09,-32616700000
2019-05-10,2195129350000
2019-05-11,644693400000
2019-05-12,-8864000000
2019-05-13,10077311730000
2019-05-14,10038928750000
2019-05-15,4336395600000
2019-05-16,4555914070000
2019-05-17,2287308090000
2019-05-18,-135361300000
2019-05-19,-16740500000
2019-05-20,92161550000
2019-05-21,-82207190000
2019-05-22,1293309400000
2019-05-23,-25365970000
2019-05-24,134143750000
2019-05-25,1835816990000
2019-05-26,488925280000
2019-05-27,-804942380000
2019-05-28,-681280570000
2019-05-29,-1972737620000
2019-05-30,-18885771700000
2019-05-31,-6250350430000
2019-06-01,302389870000
2019-06-02,-19345300000
2019-06-03,598114680000
2019-06-04,867028330000
2019-06-05,2314399320000
2019-06-06,721804760000
2019-06-07,62757220000
2019-06-08,-34464300000
2019-06-09,-9258100000
2019-06-10,2339388080000
2019-06-11,-368960970000
2019-06-12,978651440000
2019-06-13,2679930470000
2019-06-14,5022557690000
2019-06-15,425356500000
2019-06-16,-499601370000
2019-06-17,-1643159940000
2019-06-18,-403374950000
2019-06-19,-777581350000
2019-06-20,801043400000
2019-06-21,-3475951540000
2019-06-22,-515717320000
2019-06-23,1474543080000
2019-06-24,1665609080000
2019-06-25,-1221049780000
2019-06-26,9041236670000
2019-06-27,6298585350000
2019-06-28,3143806250000
2019-06-29,2736826900000
2019-06-30,36388900000
2019-07-01,1374710470000
2019-07-02,3156819630000
2019-07-03,-3449760760000
2019-07-04,-76582040000
2019-07-05,1097073590000
2019-07-06,1579806220000
2019-07-07,-15449000000
2019-07-08,7001066990000
2019-07-09,-993070070000
2019-07-10,2220894980000
2019-07-11,-70333690000
2019-07-12,3751680980000
2019-07-13,489882900000
