,txs
2019-08-08,1854
2019-08-09,1890
2019-08-10,1386
2019-08-11,1025
2019-08-12,1516
2019-08-13,1699
2019-08-14,2198
2019-08-15,2393
2019-08-16,1943
2019-08-17,1216
2019-08-18,1161
2019-08-19,1472
2019-08-20,1662
2019-08-21,1794
2019-08-22,1685
2019-08-23,1412
2019-08-24,1421
2019-08-25,1225
2019-08-26,1641
2019-08-27,1684
2019-08-28,1989
2019-08-29,2289
2019-08-30,1748
2019-08-31,1146
2019-09-01,1098
2019-09-02,1577
2019-09-03,1784
2019-09-04,1807
2019-09-05,1598
2019-09-06,1997
2019-09-07,1359
2019-09-08,1169
2019-09-09,1605
2019-09-10,1540
2019-09-11,1900
2019-09-12,1850
2019-09-13,1571
2019-09-14,1194
2019-09-15,1082
2019-09-16,1731
2019-09-17,1935
2019-09-18,1933
2019-09-19,1950
2019-09-20,1629
2019-09-21,1256
2019-09-22,1070
2019-09-23,1577
2019-09-24,2900
2019-09-25,2392
2019-09-26,2069
2019-09-27,1785
2019-09-28,1150
2019-09-29,1152
2019-09-30,1653
2019-10-01,1801
2019-10-02,1668
2019-10-03,1798
2019-10-04,1856
2019-10-05,1164
2019-10-06,1226
2019-10-07,1880
2019-10-08,1893
2019-10-09,2430
2019-10-10,2255
2019-10-11,1989
2019-10-12,1155
2019-10-13,1135
2019-10-14,1480
2019-10-15,1696
2019-10-16,1894
2019-10-17,1779
2019-10-18,1939
2019-10-19,1267
2019-10-20,1223
2019-10-21,1760
2019-10-22,1681
2019-10-23,2419
2019-10-24,1953
2019-10-25,2286
2019-10-26,2390
2019-10-27,1658
2019-10-28,2100
2019-10-29,2166
2019-10-30,2068
2019-10-31,2060
2019-11-01,2091
2019-11-02,1395
2019-11-03,1198
2019-11-04,2022
2019-11-05,2063
2019-11-06,1960
2019-11-07,2103
2019-11-08,2257
2019-11-09,1410
2019-11-10,1315
2019-11-11,1509
2019-11-12,1848
2019-11-13,1725
2019-11-14,1906
2019-11-15,2126
2019-11-16,1460
2019-11-17,1259
2019-11-18,2023
2019-11-19,1993
2019-11-20,1814
2019-11-21,2564
2019-11-22,3291
2019-11-23,1817
2019-11-24,1552
2019-11-25,2703
2019-11-26,2052
2019-11-27,2340
2019-11-28,1575
2019-11-29,1935
2019-11-30,1441
2019-12-01,1424
2019-12-02,1918
2019-12-03,2055
2019-12-04,2194
2019-12-05,2053
2019-12-06,1958
2019-12-07,1500
2019-12-08,1297
2019-12-09,1764
2019-12-10,2098
2019-12-11,1874
2019-12-12,1967
2019-12-13,1951
2019-12-14,1489
2019-12-15,1366
2019-12-16,2010
2019-12-17,2599
2019-12-18,2635
2019-12-19,2259
2019-12-20,2082
2019-12-21,1374
2019-12-22,1327
2019-12-23,1968
2019-12-24,1643
2019-12-25,1234
2019-12-26,1660
2019-12-27,1881
2019-12-28,1427
2019-12-29,1346
2019-12-30,1714
2019-12-31,1885
2020-01-01,1167
2020-01-02,1843
2020-01-03,2095
2020-01-04,1455
2020-01-05,1557
2020-01-06,2260
2020-01-07,2444
2020-01-08,2797
2020-01-09,2364
2020-01-10,2483
2020-01-11,1941
2020-01-12,1504
2020-01-13,1925
2020-01-14,3365
2020-01-15,3443
2020-01-16,2801
2020-01-17,3270
2020-01-18,2075
2020-01-19,2118
2020-01-20,1861
2020-01-21,2304
2020-01-22,2219
2020-01-23,2492
2020-01-24,2315
2020-01-25,1632
2020-01-26,1533
2020-01-27,2684
2020-01-28,2789
2020-01-29,2770
2020-01-30,2707
2020-01-31,2650
2020-02-01,2236
2020-02-02,2160
2020-02-03,2628
2020-02-04,3279
2020-02-05,3475
2020-02-06,3556
2020-02-07,3332
2020-02-08,2735
2020-02-09,2633
2020-02-10,3083
2020-02-11,3424
2020-02-12,4565
2020-02-13,3802
2020-02-14,3719
2020-02-15,3091
2020-02-16,2878
2020-02-17,3082
2020-02-18,3416
2020-02-19,3409
2020-02-20,3474
2020-02-21,3093
2020-02-22,2211
2020-02-23,2139
2020-02-24,2984
2020-02-25,3344
2020-02-26,4369
2020-02-27,3669
2020-02-28,3649
2020-02-29,2392
2020-03-01,2615
2020-03-02,3374
2020-03-03,4212
2020-03-04,3395
2020-03-05,3887
2020-03-06,3752
2020-03-07,2670
2020-03-08,3234
2020-03-09,4617
2020-03-10,3581
2020-03-11,3297
2020-03-12,6992
2020-03-13,8755
2020-03-14,3836
2020-03-15,3689
2020-03-16,5815
2020-03-17,5426
2020-03-18,5300
2020-03-19,6263
2020-03-20,5752
2020-03-21,3498
2020-03-22,3286
2020-03-23,4466
2020-03-24,4713
2020-03-25,3737
2020-03-26,4487
2020-03-27,4569
2020-03-28,3822
2020-03-29,2965
2020-03-30,4107
2020-03-31,3961
2020-04-01,4391
2020-04-02,5216
2020-04-03,4661
2020-04-04,3379
2020-04-05,3014
2020-04-06,5211
2020-04-07,5559
2020-04-08,4611
2020-04-09,4609
2020-04-10,5332
2020-04-11,3498
2020-04-12,3456
2020-04-13,4471
2020-04-14,4318
2020-04-15,4628
2020-04-16,5325
2020-04-17,5007
2020-04-18,4234
2020-04-19,3848
2020-04-20,4991
2020-04-21,4970
2020-04-22,4818
2020-04-23,6005
2020-04-24,5598
2020-04-25,4705
2020-04-26,4129
2020-04-27,4927
2020-04-28,5186
2020-04-29,6893
2020-04-30,6525
2020-05-01,6334
2020-05-02,4712
2020-05-03,4493
2020-05-04,5760
2020-05-05,5222
2020-05-06,5882
2020-05-07,6459
2020-05-08,6830
2020-05-09,4898
2020-05-10,5696
2020-05-11,6575
2020-05-12,6121
2020-05-13,6096
2020-05-14,7307
2020-05-15,6398
2020-05-16,3752
2020-05-17,3626
2020-05-18,5809
2020-05-19,4630
2020-05-20,4939
2020-05-21,6368
2020-05-22,5841
2020-05-23,3741
2020-05-24,4417
2020-05-25,4125
2020-05-26,4468
2020-05-27,5415
2020-05-28,4938
2020-05-29,5930
2020-05-30,5291
2020-05-31,3961
2020-06-01,5714
2020-06-02,8328
2020-06-03,5329
2020-06-04,5336
2020-06-05,6359
2020-06-06,3699
2020-06-07,3713
2020-06-08,5478
2020-06-09,5161
2020-06-10,5252
2020-06-11,7416
2020-06-12,5947
2020-06-13,3740
2020-06-14,4563
2020-06-15,5752
2020-06-16,5765
2020-06-17,6398
2020-06-18,5992
2020-06-19,6996
2020-06-20,7025
2020-06-21,4919
2020-06-22,7473
2020-06-23,8295
2020-06-24,7112
2020-06-25,6659
2020-06-26,8168
2020-06-27,6434
2020-06-28,5154
2020-06-29,6634
2020-06-30,6312
