,gas
2018-12-28,0.0008021738785479282
2018-12-29,0.0007444961834385474
2018-12-30,0.0009532643986269653
2018-12-31,0.0007908868787010768
2019-01-01,0.0007815982375405434
2019-01-02,0.0007927164574332204
2019-01-03,0.0006728667239168284
2019-01-04,0.0007670087909568412
2019-01-05,0.0007844887638430938
2019-01-06,0.0007753570741177545
2019-01-07,0.000803123811122179
2019-01-08,0.0008292154627361213
2019-01-09,0.000702069221241415
2019-01-10,0.0007735937263270892
2019-01-11,0.0007564014801984854
2019-01-12,0.0007030545409550846
2019-01-13,0.0007148893230288453
2019-01-14,0.0010174272798327707
2019-01-15,0.0011625526743562135
2019-01-16,0.0009573640591085313
2019-01-17,0.0008387361856268297
2019-01-18,0.0007674705044453755
2019-01-19,0.0006646164585970475
2019-01-20,0.0006781757563576843
2019-01-21,0.0007363230482210748
2019-01-22,0.0007749963475679688
2019-01-23,0.0006836863295735483
2019-01-24,0.0007527450489469697
2019-01-25,0.0008768943443274486
2019-01-26,0.000648884383442518
2019-01-27,0.0006382111866141614
2019-01-28,0.0007596052261791986
2019-01-29,0.0007491583130725692
2019-01-30,0.0010555059095416197
2019-01-31,0.000803708456490862
2019-02-01,0.0007223132751362473
2019-02-02,0.0006743301613071135
2019-02-03,0.0006576944600235057
2019-02-04,0.0007128936443345299
2019-02-05,0.0007383077571345358
2019-02-06,0.0007681310808985632
2019-02-07,0.0008756878013271605
2019-02-08,0.0007806730343710244
2019-02-09,0.0006766133561161412
2019-02-10,0.0006830905270409713
2019-02-11,0.0008317246445899196
2019-02-12,0.0008468184528152678
2019-02-13,0.0007457031758131322
2019-02-14,0.0006788903601745883
2019-02-15,0.0008768807838450814
2019-02-16,0.0008515775692566083
2019-02-17,0.0008427436452174327
2019-02-18,0.0008612102634473119
2019-02-19,0.003069437437143997
2019-02-20,0.00122425974053679
2019-02-21,0.0009563242393868723
2019-02-22,0.0010451734493319503
2019-02-23,0.0007792110851223548
2019-02-24,0.0009781441136943736
2019-02-25,0.0010244853567455306
2019-02-26,0.0010292918325693898
2019-02-27,0.0009718862917446224
2019-02-28,0.0009953536935951633
2019-03-01,0.000775603194606765
2019-03-02,0.0008789500545991753
2019-03-03,0.0015526292293728703
2019-03-04,0.0008284756441012686
2019-03-05,0.001269182513366527
2019-03-06,0.0008654051268530993
2019-03-07,0.0006329250812687504
2019-03-08,0.0009106467643065516
2019-03-09,0.0008192642611758189
2019-03-10,0.000623208811951383
2019-03-11,0.0007215129425079308
2019-03-12,0.000606280788835438
2019-03-13,0.0006121641692185306
2019-03-14,0.0005473811586385571
2019-03-15,0.0005052744455133664
2019-03-16,0.000579109317673247
2019-03-17,0.000547744676234542
2019-03-18,0.0005737868774420919
2019-03-19,0.0006263119018617155
2019-03-20,0.0006438303565966768
2019-03-21,0.0007201113594680624
2019-03-22,0.0005647374764173757
2019-03-23,0.0005520828593314866
2019-03-24,0.0005977408399724403
2019-03-25,0.0006422940718626564
2019-03-26,0.0006190425837007827
2019-03-27,0.0006847846962738211
2019-03-28,0.0006166586976266164
2019-03-29,0.0006567879311929704
2019-03-30,0.0005642624686635196
2019-03-31,0.0005829475608316051
2019-04-01,0.0006942308021584048
2019-04-02,0.0007557513751189103
2019-04-03,0.0008330958502314967
2019-04-04,0.0008038787477307167
2019-04-05,0.0006347439156622936
2019-04-06,0.0005991544879925695
2019-04-07,0.00062435511940056
2019-04-08,0.0008500225142637454
2019-04-09,0.0006496835630392295
2019-04-10,0.0006319666683915652
2019-04-11,0.000688788648793528
2019-04-12,0.0006563778901194592
2019-04-13,0.0005859128953610445
2019-04-14,0.0006124858371273774
2019-04-15,0.0006400985077720194
2019-04-16,0.0006434075077836395
2019-04-17,0.000660743222114587
2019-04-18,0.0006321895250455758
2019-04-19,0.0005966441886681923
2019-04-20,0.000522332684652325
2019-04-21,0.0005480212056276711
2019-04-22,0.0006024527956523206
2019-04-23,0.0006373327203411951
2019-04-24,0.0005986638439805992
2019-04-25,0.0006394118989136372
2019-04-26,0.000638262065806461
2019-04-27,0.0006026591234030917
2019-04-28,0.0005368202727913493
2019-04-29,0.0006210126314016369
2019-04-30,0.0006092476364417333
2019-05-01,0.0005084220812672231
2019-05-02,0.0004454714662789193
2019-05-03,0.0005364842507547772
2019-05-04,0.0005919165372643973
2019-05-05,0.0005802004098170478
2019-05-06,0.0007290403140718985
2019-05-07,0.0007105353093272931
2019-05-08,0.0006871959971697089
2019-05-09,0.0004782010591341443
2019-05-10,0.0006139081237408644
2019-05-11,0.0007544241746849867
2019-05-12,0.0007526963532836591
2019-05-13,0.0007101689090167803
2019-05-14,0.0008174384738063025
2019-05-15,0.0009075983069393014
2019-05-16,0.002868891106627684
2019-05-17,0.0011023231434794598
2019-05-18,0.001105008450246778
2019-05-19,0.000865937184810743
2019-05-20,0.0008457972362156794
2019-05-21,0.0009930652935448707
2019-05-22,0.0014966355497571398
2019-05-23,0.0012391172005785458
2019-05-24,0.0010720257413476338
2019-05-25,0.0008255468077539496
2019-05-26,0.0006106170693839793
2019-05-27,0.0009368263305656195
2019-05-28,0.0008918241994639285
2019-05-29,0.0009220568281284574
2019-05-30,0.0011434403733791211
2019-05-31,0.0011082936843062232
2019-06-01,0.000962945066277794
2019-06-02,0.0007279177734086861
2019-06-03,0.001022828511513332
2019-06-04,0.0012373320913194033
2019-06-05,0.0016313014687207156
2019-06-06,0.0012587718396721809
2019-06-07,0.0009685497782660061
2019-06-08,0.0014185011895571171
2019-06-09,0.0008228143321237601
2019-06-10,0.0015754936114089988
2019-06-11,0.0015908006504460985
2019-06-12,0.0011498747905025674
2019-06-13,0.0008581694940547318
2019-06-14,0.001613833025683303
2019-06-15,0.0015255673019823096
2019-06-16,0.0014664228479347374
2019-06-17,0.0016371855559596323
2019-06-18,0.002283982953585936
2019-06-19,0.0012141021936662214
2019-06-20,0.0015252669190271729
2019-06-21,0.0009393488193785384
2019-06-22,0.0010025243508416746
2019-06-23,0.0011728461460598233
2019-06-24,0.0008733989950304029
2019-06-25,0.001630854064134657
2019-06-26,0.0019281104855585836
2019-06-27,0.0019459100484549474
2019-06-28,0.002253750030286659
2019-06-29,0.0015403724569579948
2019-06-30,0.0015892232949509585
2019-07-01,0.0018923528653605108
2019-07-02,0.0014518133190545006
2019-07-03,0.001024422660130723
2019-07-04,0.0012066578506827069
2019-07-05,0.0017124206149052431
2019-07-06,0.001457513711584157
2019-07-07,0.0011050407177365365
2019-07-08,0.001444166241491577
2019-07-09,0.002114142775778327
2019-07-10,0.0015126313516662722
2019-07-11,0.002301901212861081
2019-07-12,0.0016181469158124777
2019-07-13,0.0012204653378952946
2019-07-14,0.002914946316367765
2019-07-15,0.0023244084725448423
2019-07-16,0.007993314592758358
2019-07-17,0.0034749427546127555
2019-07-18,0.0012752249285342679
2019-07-19,0.001919032217951943
2019-07-20,0.0009876349245104483
2019-07-21,0.001329991074877627
2019-07-22,0.0011309583294928582
2019-07-23,0.0012997315867090983
2019-07-24,0.0017671082803102126
2019-07-25,0.0018428864614623201
2019-07-26,0.001367637940780873
