,txs
2019-06-18,717
2019-06-19,579
2019-06-20,546
2019-06-21,769
2019-06-22,1102
2019-06-23,741
2019-06-24,793
2019-06-25,762
2019-06-26,1451
2019-06-27,1737
2019-06-28,1030
2019-06-29,744
2019-06-30,691
2019-07-01,896
2019-07-02,1111
2019-07-03,949
2019-07-04,793
2019-07-05,692
2019-07-06,519
2019-07-07,603
2019-07-08,876
2019-07-09,1116
2019-07-10,1215
2019-07-11,989
2019-07-12,784
2019-07-13,753
2019-07-14,922
2019-07-15,1031
2019-07-16,999
2019-07-17,1118
2019-07-18,937
2019-07-19,611
2019-07-20,570
2019-07-21,479
2019-07-22,559
2019-07-23,728
2019-07-24,699
2019-07-25,631
2019-07-26,590
2019-07-27,659
2019-07-28,529
2019-07-29,658
2019-07-30,681
2019-07-31,845
2019-08-01,772
2019-08-02,804
2019-08-03,690
2019-08-04,673
2019-08-05,1336
2019-08-06,1583
2019-08-07,1202
2019-08-08,930
2019-08-09,804
2019-08-10,787
2019-08-11,589
2019-08-12,717
2019-08-13,797
2019-08-14,875
2019-08-15,1089
2019-08-16,827
2019-08-17,569
2019-08-18,584
2019-08-19,694
2019-08-20,718
2019-08-21,762
2019-08-22,691
2019-08-23,682
2019-08-24,778
2019-08-25,659
2019-08-26,704
2019-08-27,693
2019-08-28,874
2019-08-29,840
2019-08-30,692
2019-08-31,454
2019-09-01,525
2019-09-02,674
2019-09-03,765
2019-09-04,723
2019-09-05,656
2019-09-06,771
2019-09-07,639
2019-09-08,436
2019-09-09,574
2019-09-10,533
2019-09-11,773
2019-09-12,674
2019-09-13,514
2019-09-14,415
2019-09-15,527
2019-09-16,768
2019-09-17,878
2019-09-18,747
2019-09-19,726
2019-09-20,584
2019-09-21,445
2019-09-22,383
2019-09-23,650
2019-09-24,1219
2019-09-25,946
2019-09-26,971
2019-09-27,772
2019-09-28,684
2019-09-29,580
2019-09-30,767
2019-10-01,734
2019-10-02,712
2019-10-03,700
2019-10-04,657
2019-10-05,531
2019-10-06,549
2019-10-07,724
2019-10-08,651
2019-10-09,837
2019-10-10,746
2019-10-11,758
2019-10-12,578
2019-10-13,461
2019-10-14,612
2019-10-15,759
2019-10-16,880
2019-10-17,809
2019-10-18,826
2019-10-19,896
2019-10-20,766
2019-10-21,766
2019-10-22,970
2019-10-23,946
2019-10-24,802
2019-10-25,1136
2019-10-26,1314
2019-10-27,1064
2019-10-28,995
2019-10-29,932
2019-10-30,988
2019-10-31,1021
2019-11-01,912
2019-11-02,808
2019-11-03,888
2019-11-04,1016
2019-11-05,1083
2019-11-06,1044
2019-11-07,1036
2019-11-08,1079
2019-11-09,781
2019-11-10,840
2019-11-11,795
2019-11-12,966
2019-11-13,949
2019-11-14,935
2019-11-15,1097
2019-11-16,739
2019-11-17,720
2019-11-18,935
2019-11-19,932
2019-11-20,782
2019-11-21,1082
2019-11-22,1259
2019-11-23,833
2019-11-24,596
2019-11-25,1302
2019-11-26,1502
2019-11-27,1399
2019-11-28,1064
2019-11-29,865
2019-11-30,744
2019-12-01,787
2019-12-02,718
2019-12-03,672
2019-12-04,775
2019-12-05,623
2019-12-06,653
2019-12-07,583
2019-12-08,532
2019-12-09,717
2019-12-10,881
2019-12-11,1495
2019-12-12,1765
2019-12-13,1668
2019-12-14,1271
2019-12-15,1283
2019-12-16,1506
2019-12-17,1893
2019-12-18,1784
2019-12-19,1511
2019-12-20,1507
2019-12-21,1146
2019-12-22,1088
2019-12-23,1339
2019-12-24,1057
2019-12-25,980
2019-12-26,1005
2019-12-27,1119
2019-12-28,1241
2019-12-29,1351
2019-12-30,1651
2019-12-31,1526
2020-01-01,1385
2020-01-02,1884
2020-01-03,1756
2020-01-04,1526
2020-01-05,1714
2020-01-06,1939
2020-01-07,2018
2020-01-08,2267
2020-01-09,2005
2020-01-10,2030
2020-01-11,1816
2020-01-12,1339
2020-01-13,1750
2020-01-14,2215
2020-01-15,2182
2020-01-16,2124
2020-01-17,2289
2020-01-18,2058
2020-01-19,2335
2020-01-20,2243
2020-01-21,2037
2020-01-22,2062
2020-01-23,2166
2020-01-24,2220
2020-01-25,2031
2020-01-26,1866
2020-01-27,2479
2020-01-28,2548
2020-01-29,2684
2020-01-30,2415
2020-01-31,2413
2020-02-01,2373
2020-02-02,2625
2020-02-03,2739
2020-02-04,1652
2020-02-05,2749
2020-02-06,2501
2020-02-07,3114
2020-02-08,4083
2020-02-09,3182
2020-02-10,3023
2020-02-11,3233
2020-02-12,3370
2020-02-13,3543
2020-02-14,3198
2020-02-15,3028
2020-02-16,3125
2020-02-17,3374
2020-02-18,3415
2020-02-19,3323
2020-02-20,3348
2020-02-21,3194
2020-02-22,2957
2020-02-23,3344
2020-02-24,3569
2020-02-25,3614
2020-02-26,4353
2020-02-27,4311
2020-02-28,4327
2020-02-29,3916
2020-03-01,3985
2020-03-02,4315
2020-03-03,4277
2020-03-04,4090
2020-03-05,4346
2020-03-06,4428
2020-03-07,3032
2020-03-08,4960
2020-03-09,5090
2020-03-10,4923
2020-03-11,4728
2020-03-12,3242
2020-03-13,3952
2020-03-14,5909
2020-03-15,4277
2020-03-16,5604
2020-03-17,7026
2020-03-18,6591
2020-03-19,6103
2020-03-20,6341
2020-03-21,5926
2020-03-22,5856
2020-03-23,5979
2020-03-24,6710
2020-03-25,6427
2020-03-26,6449
2020-03-27,6879
2020-03-28,5689
2020-03-29,5838
2020-03-30,6467
2020-03-31,5886
2020-04-01,6072
2020-04-02,7978
2020-04-03,7026
2020-04-04,7213
2020-04-05,7569
2020-04-06,7028
2020-04-07,6478
2020-04-08,6733
2020-04-09,5934
2020-04-10,6632
2020-04-11,7478
2020-04-12,10680
2020-04-13,11027
2020-04-14,10978
2020-04-15,9706
2020-04-16,7387
2020-04-17,9770
2020-04-18,9709
2020-04-19,9516
2020-04-20,9761
2020-04-21,8420
2020-04-22,9268
2020-04-23,10274
2020-04-24,9443
2020-04-25,10806
2020-04-26,11301
2020-04-27,10431
2020-04-28,9725
2020-04-29,7474
2020-04-30,9507
2020-05-01,13108
2020-05-02,13199
2020-05-03,13542
2020-05-04,9055
2020-05-05,16900
2020-05-06,17097
2020-05-07,13069
2020-05-08,13108
2020-05-09,11458
2020-05-10,12159
2020-05-11,8249
2020-05-12,12150
2020-05-13,14979
2020-05-14,13295
2020-05-15,11170
2020-05-16,11684
2020-05-17,13366
2020-05-18,14691
2020-05-19,12259
2020-05-20,11847
2020-05-21,6906
2020-05-22,11060
2020-05-23,9395
2020-05-24,15060
2020-05-25,19084
2020-05-26,17004
2020-05-27,9425
2020-05-28,12745
2020-05-29,5499
2020-05-30,12562
2020-05-31,16011
2020-06-01,9792
2020-06-02,10473
2020-06-03,12961
2020-06-04,11533
2020-06-05,10968
2020-06-06,12647
2020-06-07,14628
2020-06-08,12732
2020-06-09,13666
2020-06-10,9895
2020-06-11,7788
2020-06-12,9332
2020-06-13,13605
2020-06-14,11532
2020-06-15,5097
2020-06-16,5634
2020-06-17,6450
2020-06-18,6278
2020-06-19,8733
2020-06-20,8775
2020-06-21,8603
2020-06-22,6560
2020-06-23,4460
2020-06-24,3896
2020-06-25,3269
2020-06-26,3682
2020-06-27,4554
2020-06-28,4956
2020-06-29,4296
2020-06-30,4180
