,txs
2020-04-24,10052
2020-04-25,11193
2020-04-26,11967
2020-04-27,11180
2020-04-28,10777
2020-04-29,7778
2020-04-30,9642
2020-05-01,13368
2020-05-02,13815
2020-05-03,13853
2020-05-04,9066
2020-05-05,18374
2020-05-06,17881
2020-05-07,14404
2020-05-08,14052
2020-05-09,11803
2020-05-10,13178
2020-05-11,8527
2020-05-12,14524
2020-05-13,16217
2020-05-14,13698
2020-05-15,11186
2020-05-16,12278
2020-05-17,15533
2020-05-18,15366
2020-05-19,12630
2020-05-20,12494
2020-05-21,7579
2020-05-22,11602
2020-05-23,11195
2020-05-24,18468
2020-05-25,22905
2020-05-26,18881
2020-05-27,9647
2020-05-28,13732
2020-05-29,5464
2020-05-30,16047
2020-05-31,18497
2020-06-01,9947
2020-06-02,10694
2020-06-03,14238
2020-06-04,11923
2020-06-05,11739
2020-06-06,13801
2020-06-07,16355
2020-06-08,14773
2020-06-09,15219
2020-06-10,10600
2020-06-11,7693
2020-06-12,9681
2020-06-13,15023
2020-06-14,15133
2020-06-15,4817
2020-06-16,6059
2020-06-17,6820
2020-06-18,5837
2020-06-19,8556
2020-06-20,9318
2020-06-21,8239
2020-06-22,7354
2020-06-23,6525
2020-06-24,5148
2020-06-25,5198
2020-06-26,6416
2020-06-27,6137
2020-06-28,6088
2020-06-29,5808
2020-06-30,4946
