,txvalue
2019-01-09,1.3513700000000009e+23
2019-01-10,-5.937999300000001e+23
2019-01-11,1.31522631e+24
2019-01-12,3.5587014e+23
2019-01-13,0.0
2019-01-14,4.053253e+24
2019-01-15,1.9138344499999997e+24
2019-01-16,-5.49691693e+24
2019-01-17,3.96711653e+24
2019-01-18,-1.65247857e+24
2019-01-19,4.77480605e+24
2019-01-20,0.0
2019-01-21,-1.12354977e+24
2019-01-22,-1.78678913e+24
2019-01-23,-1.87904899e+24
2019-01-24,3.5191144600000007e+24
2019-01-25,-3.2501248200000003e+24
2019-01-26,-1.02624172e+24
2019-01-27,-3.571186e+23
2019-01-28,-1.21020532e+24
2019-01-29,-2.63096687e+24
2019-01-30,-1.81649545e+24
2019-01-31,-1.34109455e+24
2019-02-01,-3.77099777e+24
2019-02-02,-1.07290336e+24
2019-02-03,-4.4811942e+23
2019-02-04,-5.780020599999999e+23
2019-02-05,-4.9966588e+23
2019-02-06,-7.1480883e+23
2019-02-07,1.5109537300000002e+24
2019-02-08,-5.499875000000003e+23
2019-02-09,-5.2952137e+23
2019-02-10,-2.499e+23
2019-02-11,-1.6960798200000001e+24
2019-02-12,-1.1380603e+24
2019-02-13,-1.44505558e+24
2019-02-14,-2.579362e+23
2019-02-15,-1.38587433e+24
2019-02-16,-3.6021233e+23
2019-02-17,-5.552392e+23
2019-02-18,5.5251806e+23
2019-02-19,-5.0747227e+23
2019-02-20,-7.8789749e+23
2019-02-21,-4.339560399999999e+23
2019-02-22,3.6817701599999997e+24
2019-02-23,0.0
2019-02-24,-6.0742247e+23
2019-02-25,-1.1678656900000001e+24
2019-02-26,-9.429392399999999e+23
2019-02-27,-8.6464288e+23
2019-02-28,-3.3110053199999997e+24
2019-03-01,2.5935411299999995e+24
2019-03-02,3.21594017e+24
2019-03-03,0.0
2019-03-04,2.1744210200000006e+24
2019-03-05,5.0957996999999994e+23
2019-03-06,-5.9619765000000006e+23
2019-03-07,-4.543745e+22
2019-03-08,-1.9781722e+23
2019-03-09,2.4101257e+23
2019-03-10,5e+22
2019-03-11,-1.06422761e+24
2019-03-12,7.7084423e+23
2019-03-13,1.6796990000000004e+23
2019-03-14,8.741197700000001e+23
2019-03-15,-2.7406669000000003e+23
2019-03-16,-5.087752e+22
2019-03-17,-1.25119462e+24
2019-03-18,2.7521769999999997e+24
2019-03-19,1.6825309e+23
2019-03-20,-2.4961607e+24
2019-03-21,2.2358103500000004e+24
2019-03-22,-5.215668999999999e+22
2019-03-23,-2.779991e+23
2019-03-24,-2.639821e+23
2019-03-25,6.701697499999999e+23
